技能名,卡片类型,正面,背面,标签,出处
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 10,【积极传递消极意见】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 11,【积极传递消极意见】练习场景<br><br>选择一个贴近用户实际的场景进行练习：<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 12,【积极传递消极意见】练习场景<br><br>场景：<让用户描述一个真实应用场景><br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 13,【积极传递消极意见】练习场景<br><br>用户：（尝试应用方法回应）<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 14,【积极传递消极意见】练习场景<br><br>当时你是怎么做的？结果如何？<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 15,【积极传递消极意见】练习场景<br><br>如果用今天学的方法重新处理，你会改变什么？<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 16,【积极传递消极意见】练习场景<br><br>场景中应用「积极传递消极意见」？<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 17,【积极传递消极意见】练习场景<br><br>1. 应用场景：______<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 18,【积极传递消极意见】练习场景<br><br>2. 具体步骤：______<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 19,【积极传递消极意见】练习场景<br><br>场景中灵活运用 |<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 20,【积极传递消极意见】练习场景<br><br>| 表达清晰度 | 表达是否清晰、有条理 |<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,练习场景,【积极传递消极意见】练习场景 21,【积极传递消极意见】练习场景<br><br>| 改进意愿 | 是否愿意根据反馈调整 |<br><br><i>运用所学的步骤进行练习</i>,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
积极传递消极意见,教练提示,【积极传递消极意见】教练诊断要点,引导用户回顾相关场景：<br>教练：「关于「积极传递消极意见」，你目前的使用情况如何？<br>遇到过什么困难或困惑吗？」,积极传递消极意见 金卡梅隆-教练 学习积极传递消极意见的核心要点和关键方法,《正向领导》金·卡梅隆 | 橘子锋了 | - **日期**：
